Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Total Held as Primary Synch Reserves (MW),Total Held as Primary NonSynch Reserves (MW),Total Held as Primary Reserves (MW),Total Held as Secondary Reserves (MW)
9,35,1.0,-0.0,-0.0,235.0,0.0,39.50,0,39.50,0
9,36,1.0,-0.0,-0.0,236.0,0.0,39.50,0,39.50,0
9,37,1.0,-0.0,-0.0,237.0,0.0,39.50,0,39.50,39.50
9,38,1.0,-0.0,-0.0,238.0,0.0,0,0,0,0
9,39,1.0,-0.0,-0.0,239.0,0.0,0,0,0,0
9,40,1.0,-0.0,-0.0,240.0,0.0,0,0,0,0
9,41,1.0,-0.0,-0.0,241.0,0.0,0,0,0,0
9,42,1.0,-0.0,-0.0,242.0,0.0,0,0,0,0
9,43,1.0,-0.0,-0.0,243.0,0.0,0,0,0,0
9,44,1.0,-0.0,-0.0,244.0,0.0,0,0,0,0
9,45,1.0,-0.0,-0.0,245.0,0.0,0,0,0,0
9,46,1.0,-0.0,-0.0,246.0,0.0,0,0,0,0
9,47,1.0,-0.0,-0.0,247.0,0.0,39.50,0,39.50,0
9,48,1.0,-0.0,0.0,248.0,0.0,39.50,0,39.50,0
10,1,1.0,0.0,0.0,201.0,0.0,5.50,0,5.50,0
10,2,1.0,-0.0,-0.0,202.0,0.0,5.50,0,5.50,0
10,3,1.0,-0.0,-0.0,203.0,0.0,5.50,0,5.50,0
10,4,1.0,-0.0,-0.0,204.0,0.0,5.50,0,5.50,0
10,5,1.0,-0.0,-0.0,205.0,0.0,5.50,0,5.50,0
10,6,1.0,-0.0,-0.0,206.0,0.0,5.50,0,5.50,0
10,7,1.0,-0.0,-0.0,207.0,0.0,5.50,0,5.50,0
10,8,1.0,-0.0,-0.0,208.0,0.0,5.50,0,5.50,0
10,9,1.0,-0.0,-0.0,209.0,0.0,5.50,0,5.50,0
10,10,1.0,-0.0,-0.0,210.0,0.0,5.50,0,5.50,0
10,11,1.0,-0.0,-0.0,211.0,0.0,5.50,0,5.50,0
10,12,1.0,-0.0,-0.0,212.0,0.0,5.50,0,5.50,0
10,13,1.0,-0.0,-0.0,213.0,0.0,0,0,0,0
10,14,1.0,-0.0,-0.0,214.0,0.0,0,0,0,0
10,15,1.0,-0.0,-0.0,215.0,0.0,0,0,0,0
10,16,1.0,-0.0,-0.0,216.0,0.0,0,0,0,0
10,17,1.0,-0.0,-0.0,217.0,0.0,0,0,0,0
10,18,1.0,-0.0,-0.0,218.0,0.0,0,0,0,0
10,19,1.0,-0.0,-0.0,219.0,0.0,0,0,0,0
10,20,1.0,-0.0,-0.0,220.0,0.0,0,0,0,0
10,21,1.0,-0.0,-0.0,221.0,0.0,0,0,0,0
10,22,1.0,-0.0,-0.0,222.0,0.0,0,0,0,0
10,23,1.0,-0.0,-0.0,223.0,0.0,5.50,0,5.50,0
10,24,1.0,-0.0,-0.0,224.0,0.0,5.50,0,5.50,0
10,25,1.0,-0.0,0.0,225.0,0.0,5.50,0,5.50,0
10,26,1.0,-0.0,-0.0,226.0,0.0,5.50,0,5.50,0
10,27,1.0,-0.0,-0.0,227.0,0.0,5.50,0,5.50,0
10,28,1.0,-0.0,-0.0,228.0,0.0,5.50,0,5.50,0
10,29,1.0,-0.0,-0.0,229.0,0.0,5.50,0,5.50,0
10,30,1.0,-0.0,-0.0,230.0,0.0,5.50,0,5.50,0
10,31,1.0,-0.0,-0.0,231.0,0.0,5.50,0,5.50,0
10,32,1.0,-0.0,-0.0,232.0,0.0,5.50,0,5.50,0
10,33,1.0,-0.0,-0.0,233.0,0.0,5.50,0,5.50,0
10,34,1.0,-0.0,0.0,234.0,0.0,5.50,0,5.50,0
10,35,1.0,-0.0,-0.0,235.0,0.0,5.50,0,5.50,0
10,36,1.0,-0.0,-0.0,236.0,0.0,5.50,0,5.50,0
10,37,1.0,-0.0,-0.0,237.0,0.0,0,0,0,0
10,38,1.0,-0.0,-0.0,238.0,0.0,0,0,0,0
10,39,1.0,-0.0,-0.0,239.0,0.0,0,0,0,0
10,40,1.0,-0.0,-0.0,240.0,0.0,0,0,0,0
10,41,1.0,-0.0,-0.0,241.0,0.0,0,0,0,0
10,42,1.0,-0.0,-0.0,242.0,0.0,0,0,0,0
10,43,1.0,-0.0,-0.0,243.0,0.0,0,0,0,0
10,44,1.0,-0.0,-0.0,244.0,0.0,0,0,0,0
10,45,1.0,-0.0,-0.0,245.0,0.0,0,0,0,0
10,46,1.0,-0.0,-0.0,246.0,0.0,0,0,0,0
10,47,1.0,-0.0,-0.0,247.0,0.0,5.50,0,5.50,0
10,48,1.0,-0.0,-0.0,248.0,0.0,5.50,0,5.50,0
12,1,0.0,0.0,1.0,0.0,1.0,0,16.00,16.00,16.00
12,2,0.0,0.0,0.0,0.0,2.0,0,16.00,16.00,16.00
12,3,0.0,0.0,0.0,0.0,3.0,0,16.00,16.00,16.00
12,4,0.0,0.0,0.0,0.0,4.0,0,16.00,16.00,16.00
12,5,0.0,0.0,0.0,0.0,5.0,0,16.00,16.00,16.00
12,6,0.0,0.0,0.0,0.0,6.0,0,16.00,16.00,16.00
12,7,0.0,0.0,0.0,0.0,7.0,0,16.00,16.00,16.00
12,8,0.0,0.0,0.0,0.0,8.0,0,16.00,16.00,16.00
12,9,0.0,0.0,0.0,0.0,9.0,0,16.00,16.00,16.00
12,10,0.0,0.0,0.0,0.0,10.0,0,16.00,16.00,16.00
12,11,0.0,0.0,0.0,0.0,11.0,0,16.00,16.00,16.00
12,12,0.0,0.0,0.0,0.0,12.0,0,16.00,16.00,16.00
12,13,0.0,0.0,0.0,0.0,13.0,0,16.00,16.00,16.00
12,14,0.0,0.0,0.0,0.0,14.0,0,16.00,16.00,16.00
12,15,0.0,0.0,0.0,0.0,15.0,0,16.00,16.00,16.00
12,16,0.0,0.0,0.0,0.0,16.0,0,16.00,16.00,16.00
12,17,0.0,0.0,0.0,0.0,17.0,0,16.00,16.00,16.00
12,18,0.0,0.0,0.0,0.0,18.0,0,16.00,16.00,16.00
12,19,0.0,0.0,0.0,0.0,19.0,0,16.00,16.00,16.00
12,20,0.0,0.0,0.0,0.0,20.0,0,16.00,16.00,16.00
